ID;ADDRESS;CAPASITY;LANG;NAME
1;I. Šimulionio g. 8;182;rusų;Vilniaus darželis-mokykla „Lokiukas“
2;Tuskulėnų g. 42;226;rusų;Vilniaus darželis-mokykla „Vaivorykštė“
3;Volungės g. 10;292;lietuvių;Vilniaus Volungės darželis-mokykla
4;Medeinos g. 5;96;lietuvių;Vilniaus „Aušros“ mokykla-darželis
5;Taikos g. 15;204;lenkų;Vilniaus darželis-mokykla „Vilija“
6;Šaltkalvių g. 13;102;lenkų;Vilniaus darželis-mokykla „Šaltinėlis“
7;Architektų g. 210;188;rusų;Vilniaus darželis-mokykla „Svaja“
8;Ankštoji g. 11;118;lietuvių;Vilniaus darželis-mokykla „Dainorėliai“
9;Vaduvos g. 14A;102;lietuvių;Vilniaus Vaduvos darželis-mokykla
10;Genių g. 25;258;lietuvių;Vilniaus „Atžalyno“ mokykla-darželis
11;Pergalės g. 22;188;lenkų;Vilniaus Žaliakalnio darželis-mokykla
