ID;ADDRESS;CAPASITY;NAME
1;I. Šimulionio g. 8;182;Vilniaus darželis-mokykla „Lokiukas“
2;Tuskulėnų g. 42;226;Vilniaus darželis-mokykla „Vaivorykštė“
3;Volungės g. 10;292;Vilniaus Volungės darželis-mokykla
4;Medeinos g. 5;96;Vilniaus „Aušros“ mokykla-darželis
5;Taikos g. 15;204;Vilniaus darželis-mokykla „Vilija“
6;Šaltkalvių g. 13;102;Vilniaus darželis-mokykla „Šaltinėlis“
7;Architektų g. 210;188;Vilniaus darželis-mokykla „Svaja“
8;Ankštoji g. 11;118;Vilniaus darželis-mokykla „Dainorėliai“
9;Vaduvos g. 14A;102;Vilniaus Vaduvos darželis-mokykla
10;Genių g. 25;258;Vilniaus „Atžalyno“ mokykla-darželis
11;Pergalės g. 22;188;Vilniaus Žaliakalnio darželis-mokykla
